,user,class
0,0,C
1,1,B
2,2,B
3,3,A
4,4,B
5,5,A
6,6,C
7,7,B
8,8,C
9,9,B
10,10,A
11,11,A
12,12,A
13,13,B
14,14,B
15,15,C
16,16,A
17,17,C
18,18,C
19,19,B
20,20,C
21,21,C
22,22,A
23,23,A
24,24,C
25,25,C
26,26,B
27,27,A
28,28,C
29,29,A
30,30,C
31,31,A
32,32,B
33,33,C
34,34,B
35,35,B
36,36,A
37,37,B
38,38,C
39,39,A
40,40,A
41,41,A
42,42,B
43,43,C
44,44,B
45,45,A
46,46,A
47,47,B
48,48,C
49,49,B
50,50,B
51,51,C
52,52,C
53,53,B
54,54,A
55,55,A
56,56,C
57,57,A
58,58,C
59,59,C
60,60,B
61,61,C
62,62,C
63,63,A
64,64,C
65,65,A
66,66,C
67,67,B
68,68,B
69,69,C
70,70,B
71,71,B
72,72,B
73,73,A
74,74,C
75,75,B
76,76,B
77,77,A
78,78,A
79,79,B
80,80,C
81,81,B
82,82,A
83,83,C
84,84,A
85,85,B
86,86,C
87,87,A
88,88,C
89,89,C
90,90,C
91,91,A
92,92,B
93,93,B
94,94,B
95,95,C
96,96,A
97,97,C
98,98,B
99,99,B
100,100,A
101,101,B
102,102,B
103,103,A
104,104,B
105,105,B
106,106,C
107,107,B
108,108,A
109,109,B
110,110,A
111,111,A
112,112,B
113,113,C
114,114,C
115,115,A
116,116,B
117,117,A
118,118,C
119,119,C
120,120,A
121,121,B
122,122,A
123,123,B
124,124,C
125,125,A
126,126,B
127,127,B
128,128,A
129,129,A
130,130,B
131,131,B
132,132,C
133,133,A
134,134,B
135,135,A
136,136,C
137,137,A
138,138,A
139,139,B
140,140,B
141,141,A
142,142,A
143,143,A
144,144,A
145,145,A
146,146,A
147,147,A
148,148,A
149,149,A
150,150,A
151,151,B
152,152,A
153,153,C
154,154,C
155,155,A
156,156,C
157,157,C
158,158,A
159,159,C
160,160,C
161,161,A
162,162,A
163,163,C
164,164,C
165,165,B
166,166,B
